,before_cleaning,after_cleaning
total_records,307984.0,307984.0
pass_rate,0.5169326978024833,0.5169326978024833
fail_rate,0.19283144578939165,0.19283144578939165
critical_violation_rate,0.23010286248636294,0.23010286248636294
