,0
Violations,86366
Facility Type,5322
AKA Name,2420
Location,1047
Longitude,1047
Latitude,1047
City,179
Risk,87
State,67
Zip,42
License #,19
Inspection Type,1
Inspection Date,0
Results,0
DBA Name,0
Address,0
Inspection ID,0
